Runtime (em: downsample): 1.6689300537109375e-06
Runtime (cy: downsample): 2.379638195037842
Runtime (cy (older): downsample): 6.9141387939453125e-06
         879806 function calls (864749 primitive calls) in 3.646 seconds

   Ordered by: standard name

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        3    0.000    0.000    0.000    0.000 base.py:607(_add_datetimelike_methods)
        9    0.000    0.000    0.000    0.000 base.py:608(<listcomp>)
        1    0.000    0.000    0.000    0.000 base.py:61(BaseLibSVM)
        1    0.000    0.000    0.000    0.000 base.py:62(spmatrix)
        1    0.000    0.000    0.000    0.000 base.py:647(GroupByMixin)
        3    0.000    0.000    0.000    0.000 base.py:650(_dispatch)
        1    0.000    0.000    0.000    0.000 base.py:694(FrozenList)
        6    0.000    0.000    0.000    0.000 base.py:70(__init__)
        1    0.000    0.000    0.000    0.000 base.py:726(SupervisedFloatMixin)
        1    0.000    0.000    0.000    0.000 base.py:74(PandasObject)
        1    0.000    0.000    0.000    0.000 base.py:746(SupervisedIntegerMixin)
        1    0.000    0.000    0.000    0.000 base.py:761(FrozenNDArray)
        1    0.000    0.000    0.000    0.000 base.py:77(InvalidIndexError)
        6    0.000    0.000    0.000    0.000 base.py:77(set_shape)
        1    0.000    0.000    0.000    0.000 base.py:789(UnsupervisedMixin)
        1    0.000    0.000    0.000    0.000 base.py:798(IndexOpsMixin)
        6    0.000    0.000    0.000    0.000 base.py:874(_values)
        1    0.000    0.000    0.001    0.001 base.py:92(Index)
       28    0.000    0.000    0.000    0.000 base.py:99(get_shape)
        1    0.000    0.000    0.000    0.000 base64.py:3(<module>)
        1    0.000    0.000    0.001    0.001 base64mime.py:25(<module>)
        1    0.000    0.000    0.000    0.000 basic.py:1101(erfinv)
        1    0.000    0.000    0.000    0.000 basic.py:41(SpecialFunctionWarning)
        1    0.000    0.000    0.027    0.027 basic.py:5(<module>)
        1    0.000    0.000    0.002    0.002 basic.py:7(<module>)
        1    0.000    0.000    0.000    0.000 basic.py:755(LstsqLapackError)
        1    0.000    0.000    0.000    0.000 bayes.py:22(BayesianRidge)
        1    0.000    0.000    0.000    0.000 bayes.py:228(ARDRegression)
        1    0.000    0.000    0.000    0.000 bayes.py:3(<module>)
        1    0.000    0.000    0.000    0.000 bicluster.py:1(<module>)
        1    0.000    0.000    0.000    0.000 bisect.py:1(<module>)
        1    0.000    0.000    0.000    0.000 black_box_blocker.py:1(<module>)
        1    0.000    0.000    0.000    0.000 black_box_blocker.py:18(BlackBoxBlocker)
        1    0.000    0.000    0.001    0.001 blas.py:143(<module>)
        1    0.000    0.000    0.000    0.000 blocker.py:1(<module>)
        1    0.000    0.000    0.000    0.000 blocker.py:10(Blocker)
        1    0.000    0.000    0.000    0.000 blockercombiner.py:4(<module>)
        1    0.000    0.000    0.000    0.000 bounds.py:1(<module>)
        1    0.000    0.000    0.000    0.000 bsr.py:1(<module>)
        1    0.000    0.000    0.000    0.000 bsr.py:22(bsr_matrix)
        1    0.000    0.000    0.000    0.000 bvls.py:1(<module>)
        1    0.000    0.000    0.000    0.000 bz2.py:32(BZ2File)
        1    0.000    0.000    0.001    0.001 bz2.py:5(<module>)
        1    0.000    0.000    0.000    0.000 calendar.py:129(Calendar)
        1    0.000    0.000    0.000    0.000 calendar.py:135(__init__)
        1    0.000    0.000    0.000    0.000 calendar.py:141(setfirstweekday)
        1    0.000    0.000    0.000    0.000 calendar.py:24(IllegalMonthError)
        1    0.000    0.000    0.000    0.000 calendar.py:260(TextCalendar)
        1    0.000    0.000    0.000    0.000 calendar.py:31(IllegalWeekdayError)
        1    0.000    0.000    0.000    0.000 calendar.py:377(HTMLCalendar)
        1    0.000    0.000    0.000    0.000 calendar.py:489(different_locale)
        1    0.000    0.000    0.000    0.000 calendar.py:50(_localized_month)
        1    0.000    0.000    0.000    0.000 calendar.py:501(LocaleTextCalendar)
        1    0.000    0.000    0.000    0.000 calendar.py:52(<listcomp>)
        2    0.000    0.000    0.000    0.000 calendar.py:53(<lambda>)
        1    0.000    0.000    0.000    0.000 calendar.py:532(LocaleHTMLCalendar)
        2    0.000    0.000    0.000    0.000 calendar.py:55(__init__)
       26    0.000    0.000    0.000    0.000 calendar.py:58(__getitem__)
        1    0.000    0.000    0.000    0.000 calendar.py:6(<module>)
        1    0.000    0.000    0.000    0.000 calendar.py:69(_localized_day)
        1    0.000    0.000    0.000    0.000 calendar.py:72(<listcomp>)
        2    0.000    0.000    0.000    0.000 calendar.py:74(__init__)
       14    0.000    0.000    0.000    0.000 calendar.py:77(__getitem__)
        1    0.000    0.000    0.000    0.000 callbacks.py:1(<module>)
        1    0.000    0.000    0.000    0.000 callbacks.py:8(Callback)
        1    0.000    0.000    0.000    0.000 callbacks.py:98(add_callbacks)
        1    0.000    0.000    0.008    0.008 case.py:1(<module>)
        2    0.000    0.000    0.000    0.000 case.py:103(skipIf)
        1    0.000    0.000    0.000    0.000 case.py:128(_BaseTestCaseContext)
       10    0.000    0.000    0.000    0.000 case.py:1307(_deprecate)
        1    0.000    0.000    0.000    0.000 case.py:1329(FunctionTestCase)
        1    0.000    0.000    0.000    0.000 case.py:137(_AssertRaisesBaseContext)
        1    0.000    0.000    0.000    0.000 case.py:1387(_SubTest)
        1    0.000    0.000    0.000    0.000 case.py:180(_AssertRaisesContext)
        1    0.000    0.000    0.000    0.000 case.py:217(_AssertWarnsContext)
        1    0.000    0.000    0.000    0.000 case.py:25(SkipTest)
        1    0.000    0.000    0.000    0.000 case.py:274(_CapturingHandler)
        1    0.000    0.000    0.000    0.000 case.py:293(_AssertLogsContext)
        1    0.000    0.000    0.000    0.000 case.py:33(_ShouldStop)
        1    0.000    0.000    0.000    0.000 case.py:337(TestCase)
        1    0.000    0.000    0.000    0.000 case.py:38(_UnexpectedSuccess)
        1    0.000    0.000    0.000    0.000 case.py:44(_Outcome)
        2    0.000    0.000    0.000    0.000 case.py:84(_id)
        1    0.000    0.000    0.000    0.000 cast.py:1(<module>)
       11    0.000    0.000    0.000    0.000 cast.py:227(_maybe_promote)
        4    0.000    0.000    0.000    0.000 cast.py:33(_possibly_convert_platform)
       24    0.000    0.000    0.000    0.000 cast.py:660(_possibly_castable)
       26    0.000    0.000    0.001    0.000 cast.py:672(_possibly_infer_to_datetimelike)
       28    0.000    0.000    0.001    0.000 cast.py:765(_possibly_cast_to_datetime)
        1    0.000    0.000    0.000    0.000 catalog.py:2(<module>)
        1    0.000    0.000    0.000    0.000 catalog.py:20(__init__)
        1    0.000    0.000    0.000    0.000 catalog.py:24(Instance)
        1    0.000    0.000    0.000    0.000 catalog.py:44(Catalog)
        1    0.000    0.000    0.000    0.000 catalog.py:50(__init__)
        1    0.000    0.000    0.000    0.000 catalog.py:7(Singleton)
        1    0.000    0.000    0.000    0.000 catalog_helper.py:2(<module>)
        1    0.000    0.000    0.000    0.000 catalog_manager.py:4(<module>)
        1    0.000    0.000    0.000    0.000 categorical.py:152(Categorical)
        1    0.000    0.000    0.000    0.000 categorical.py:1918(CategoricalAccessor)
        1    0.000    0.000    0.001    0.001 categorical.py:3(<module>)
        6    0.000    0.000    0.000    0.000 categorical.py:41(_cat_compare_op)
        1    0.000    0.000    0.003    0.003 category.py:1(<module>)
        1    0.000    0.000    0.000    0.000 category.py:23(CategoricalIndex)
        1    0.000    0.000    0.000    0.000 category.py:587(_add_comparison_methods)
        6    0.000    0.000    0.000    0.000 category.py:591(_make_compare)
        1    0.000    0.000    0.002    0.002 category.py:635(_add_accessors)
        1    0.000    0.000    0.000    0.000 cbook.py:1019(GetRealpathAndStat)
        1    0.000    0.000    0.000    0.000 cbook.py:1020(__init__)
        1    0.000    0.000    0.000    0.000 cbook.py:1047(RingBuffer)
        1    0.000    0.000    0.000    0.000 cbook.py:1053(__Full)
        1    0.000    0.000    0.000    0.000 cbook.py:1286(maxdict)
        1    0.000    0.000    0.000    0.000 cbook.py:1292(__init__)
        1    0.000    0.000    0.000    0.000 cbook.py:1306(Stack)
       11    0.000    0.000    0.000    0.000 cbook.py:139(deprecated)
        1    0.000    0.000    0.000    0.000 cbook.py:1517(MemoryMonitor)
        1    0.000    0.000    0.000    0.000 cbook.py:1636(Grouper)
       11    0.000    0.000    0.000    0.000 cbook.py:188(deprecate)
        1    0.000    0.000    0.000    0.000 cbook.py:2144(<listcomp>)
        1    0.000    0.000    0.000    0.000 cbook.py:2330(_NestedClassGetter)
        1    0.000    0.000    0.000    0.000 cbook.py:2350(_InstanceMethodPickler)
        1    0.000    0.000    0.000    0.000 cbook.py:261(converter)
        1    0.000    0.000    0.000    0.000 cbook.py:2702(Locked)
        1    0.000    0.000    0.000    0.000 cbook.py:2716(TimeoutError)
        1    0.000    0.000    0.000    0.000 cbook.py:279(tostr)
        1    0.000    0.000    0.000    0.000 cbook.py:285(todatetime)
        1    0.000    0.000    0.000    0.000 cbook.py:299(todate)
        1    0.000    0.000    0.000    0.000 cbook.py:313(tofloat)
        1    0.000    0.000    0.000    0.000 cbook.py:325(toint)
        1    0.000    0.000    0.000    0.000 cbook.py:336(_BoundMethodProxy)
        1    0.000    0.000    0.000    0.000 cbook.py:36(MatplotlibDeprecationWarning)
        1    0.000    0.000    0.000    0.000 cbook.py:441(CallbackRegistry)
       11    0.000    0.000    0.000    0.000 cbook.py:52(_generate_deprecation_message)
        1    0.000    0.000    0.000    0.000 cbook.py:554(silent_list)
        1    0.000    0.000    0.000    0.000 cbook.py:580(IgnoredKeywordWarning)
        1    0.000    0.000    0.000    0.000 cbook.py:645(Bunch)
        1    0.000    0.000    0.002    0.002 cbook.py:7(<module>)
        1    0.000    0.000    0.000    0.000 cbook.py:861(Sorter)
        1    0.000    0.000    0.000    0.000 cbook.py:909(Xlator)
        1    0.000    0.000    0.000    0.000 cbook.py:969(Null)
        1    0.000    0.000    0.000    0.000 chainmap.py:1(<module>)
        1    0.000    0.000    0.000    0.000 chainmap.py:7(DeepChainMap)
        1    0.000    0.000    0.000    0.000 charset.py:167(Charset)
        2    0.000    0.000    0.000    0.000 charset.py:211(__init__)
        1    0.000    0.000    0.001    0.001 charset.py:6(<module>)
        1    0.000    0.000    0.000    0.000 chebyshev.py:2041(Chebyshev)
        1    0.000    0.000    0.000    0.000 chebyshev.py:87(<module>)
        1    0.000    0.000    0.000    0.000 class_weight.py:5(<module>)
        1    0.000    0.000    0.004    0.004 classes.py:1(<module>)
        1    0.000    0.000    0.000    0.000 classes.py:14(LinearSVC)
        1    0.000    0.000    0.000    0.000 classes.py:226(LinearSVR)
        1    0.000    0.000    0.000    0.000 classes.py:387(SVC)
        1    0.000    0.000    0.000    0.000 classes.py:546(NuSVC)
        1    0.000    0.000    0.000    0.000 classes.py:696(SVR)
        1    0.000    0.000    0.000    0.000 classes.py:810(NuSVR)
        1    0.000    0.000    0.000    0.000 classes.py:923(OneClassSVM)
        1    0.000    0.000    0.000    0.000 classification.py:1(<module>)
        1    0.000    0.000    0.000    0.000 classification.py:227(RadiusNeighborsClassifier)
        1    0.000    0.000    0.000    0.000 classification.py:23(KNeighborsClassifier)
        1    0.000    0.000    0.003    0.003 classification.py:8(<module>)
        1    0.000    0.000    0.000    0.000 client.py:107(<dictcomp>)
        1    0.000    0.000    0.000    0.000 client.py:1355(HTTPSConnection)
        1    0.000    0.000    0.000    0.000 client.py:1411(HTTPException)
        1    0.000    0.000    0.000    0.000 client.py:1416(NotConnected)
        1    0.000    0.000    0.000    0.000 client.py:1419(InvalidURL)
        1    0.000    0.000    0.000    0.000 client.py:1422(UnknownProtocol)
        1    0.000    0.000    0.000    0.000 client.py:1427(UnknownTransferEncoding)
        1    0.000    0.000    0.000    0.000 client.py:1430(UnimplementedFileMode)
        1    0.000    0.000    0.000    0.000 client.py:1433(IncompleteRead)
        1    0.000    0.000    0.000    0.000 client.py:1448(ImproperConnectionState)
        1    0.000    0.000    0.000    0.000 client.py:1451(CannotSendRequest)
        1    0.000    0.000    0.000    0.000 client.py:1454(CannotSendHeader)
        1    0.000    0.000    0.000    0.000 client.py:1457(ResponseNotReady)
        1    0.000    0.000    0.000    0.000 client.py:1460(BadStatusLine)
        1    0.000    0.000    0.000    0.000 client.py:1467(LineTooLong)
        1    0.000    0.000    0.000    0.000 client.py:1472(RemoteDisconnected)
        1    0.000    0.000    0.000    0.000 client.py:164(HTTPMessage)
        1    0.000    0.000    0.000    0.000 client.py:218(HTTPResponse)
        1    0.000    0.000    0.030    0.030 client.py:69(<module>)
        1    0.000    0.000    0.000    0.000 client.py:788(HTTPConnection)
        1    0.000    0.000    0.000    0.000 clipboard.py:1(<module>)
        1    0.000    0.000    0.000    0.000 cloudpickle.py:121(_walk_global_ops)
        1    0.000    0.000    0.000    0.000 cloudpickle.py:132(CloudPickler)
       12    0.000    0.000    0.000    0.000 cloudpickle.py:136(__init__)
       12    0.000    0.000    0.006    0.001 cloudpickle.py:143(dump)
       12    0.000    0.000    0.004    0.000 cloudpickle.py:192(save_codeobject)
    72/12    0.000    0.000    0.006    0.001 cloudpickle.py:212(save_function)
       12    0.000    0.000    0.006    0.000 cloudpickle.py:285(save_function_tuple)
       12    0.000    0.000    0.000    0.000 cloudpickle.py:328(extract_code_globals)
        1    0.000    0.000    0.000    0.000 cloudpickle.py:341(<genexpr>)
       12    0.000    0.000    0.000    0.000 cloudpickle.py:354(extract_func_data)
       12    0.000    0.000    0.000    0.000 cloudpickle.py:374(<listcomp>)
       24    0.000    0.000    0.001    0.000 cloudpickle.py:384(save_builtin_function)
    72/60    0.000    0.000    0.002    0.000 cloudpickle.py:390(save_global)
        1    0.000    0.000    0.001    0.001 cloudpickle.py:42(<module>)
    48/12    0.000    0.000    0.004    0.000 cloudpickle.py:545(save_reduce)
       12    0.000    0.000    0.000    0.000 cloudpickle.py:671(inject_addons)
       12    0.000    0.000    0.000    0.000 cloudpickle.py:678(is_tornado_coroutine)
       12    0.000    0.000    0.006    0.001 cloudpickle.py:702(dumps)
       12    0.000    0.000    0.000    0.000 cloudpickle.py:81(islambda)
        1    0.000    0.000    0.000    0.000 cobyla.py:11(<module>)
       51    0.000    0.000    0.000    0.000 codecs.py:259(__init__)
       51    0.000    0.000    0.000    0.000 codecs.py:308(__init__)
       84    0.000    0.000    0.000    0.000 codecs.py:318(decode)
        1    0.000    0.000    0.000    0.000 codecs.py:93(__new__)
      128    0.000    0.000    0.001    0.000 colors.py:107(_is_nth_color)
        1    0.000    0.000    0.000    0.000 colors.py:1083(PowerNorm)
       70    0.000    0.000    0.001    0.000 colors.py:113(is_color_like)
        1    0.000    0.000    0.000    0.000 colors.py:1159(BoundaryNorm)
        1    0.000    0.000    0.000    0.000 colors.py:1234(NoNorm)
       58    0.000    0.000    0.001    0.000 colors.py:128(to_rgba)
        1    0.000    0.000    0.000    0.000 colors.py:1397(LightSource)
       14    0.000    0.000    0.000    0.000 colors.py:151(_to_rgba_no_colorcycle)
       44    0.000    0.000    0.000    0.000 colors.py:171(<genexpr>)
       10    0.000    0.000    0.000    0.000 colors.py:201(<genexpr>)
        1    0.000    0.000    0.000    0.000 colors.py:279(ColorConverter)
        1    0.000    0.000    0.000    0.000 colors.py:400(Colormap)
        1    0.000    0.000    0.003    0.003 colors.py:57(<module>)
        1    0.000    0.000    0.000    0.000 colors.py:582(LinearSegmentedColormap)
        1    0.000    0.000    0.000    0.000 colors.py:701(ListedColormap)
        1    0.000    0.000    0.000    0.000 colors.py:72(_ColorMapping)
        1    0.000    0.000    0.000    0.000 colors.py:73(__init__)
        1    0.000    0.000    0.000    0.000 colors.py:773(Normalize)
        1    0.000    0.000    0.000    0.000 colors.py:89(<dictcomp>)
        1    0.000    0.000    0.000    0.000 colors.py:896(LogNorm)
        1    0.000    0.000    0.000    0.000 colors.py:94(<dictcomp>)
        1    0.000    0.000    0.000    0.000 colors.py:967(SymLogNorm)
        4    0.000    0.000    0.012    0.003 common.py:1(<module>)
        1    0.000    0.000    0.000    0.000 common.py:100(AbstractMethodError)
        1    0.000    0.000    0.000    0.000 common.py:102(BaseIterator)
      164    0.000    0.000    0.001    0.000 common.py:102(is_categorical_dtype)
        6    0.000    0.000    0.000    0.000 common.py:106(is_string_dtype)
        2    0.000    0.000    0.000    0.000 common.py:116(_is_url)
        2    0.000    0.000    0.000    0.000 common.py:134(_is_s3_url)
       11    0.000    0.000    0.000    0.000 common.py:135(is_dtype_equal)
        1    0.000    0.000    0.000    0.000 common.py:147(DatetimeProperties)
       70    0.000    0.000    0.000    0.000 common.py:153(is_integer_dtype)
       10    0.000    0.000    0.000    0.000 common.py:170(is_datetime64_any_dtype)
        1    0.000    0.000    0.000    0.000 common.py:175(TimedeltaProperties)
        2    0.000    0.000    0.000    0.000 common.py:175(_expand_user)
        1    0.000    0.000    0.000    0.000 common.py:18(<listcomp>)
        3    0.000    0.000    0.000    0.000 common.py:188(is_datetime_or_timedelta_dtype)
        2    0.000    0.000    0.000    0.000 common.py:193(_validate_header_arg)
       10    0.000    0.000    0.001    0.000 common.py:194(is_bool_indexer)
        1    0.000    0.000    0.000    0.000 common.py:2(<module>)
        2    0.000    0.000    0.000    0.000 common.py:201(_stringify_path)
        1    0.000    0.000    0.000    0.000 common.py:214(PeriodProperties)
        3    0.000    0.000    0.000    0.000 common.py:217(_default_index)
        2    0.000    0.000    0.000    0.000 common.py:220(get_filepath_or_buffer)
        1    0.000    0.000    0.000    0.000 common.py:23(NameResolutionError)
        1    0.000    0.000    0.000    0.000 common.py:231(is_datetimelike_v_numeric)
        1    0.000    0.000    0.000    0.000 common.py:237(CombinedDatetimelikeProperties)
        2    0.000    0.000    0.000    0.000 common.py:257(_try_sort)
        2    0.000    0.000    0.000    0.000 common.py:26(<listcomp>)
        3    0.000    0.000    0.000    0.000 common.py:264(needs_i8_conversion)
       39    0.000    0.000    0.000    0.000 common.py:28(outer)
       53    0.000    0.000    0.000    0.000 common.py:282(is_float_dtype)
       42    0.000    0.000    0.000    0.000 common.py:292(is_bool_dtype)
        3    0.000    0.000    0.002    0.001 common.py:3(<module>)
       24    0.000    0.000    0.000    0.000 common.py:301(is_extension_type)
        1    0.000    0.000    0.000    0.000 common.py:314(groupby)
        1    0.000    0.000    0.000    0.000 common.py:315(is_complex_dtype)
        8    0.000    0.000    0.000    0.000 common.py:320(_coerce_to_dtype)
       28    0.000    0.000    0.000    0.000 common.py:333(_get_dtype)
        1    0.000    0.000    0.000    0.000 common.py:346(Visitor)
        1    0.000    0.000    0.000    0.000 common.py:351(MMapWrapper)
      239    0.000    0.000    0.000    0.000 common.py:357(_get_dtype_type)
       16    0.000    0.000    0.000    0.000 common.py:365(_asarray_tuplesafe)
        1    0.000    0.000    0.000    0.000 common.py:381(FNMatcher)
      4/2    0.000    0.000    0.000    0.000 common.py:382(_get_dtype_from_object)
        1    0.000    0.000    0.000    0.000 common.py:387(UTF8Recoder)
        1    0.000    0.000    0.000    0.000 common.py:4(<module>)
        2    0.000    0.000    0.000    0.000 common.py:422(_validate_date_like_dtype)
        4    0.000    0.000    0.000    0.000 common.py:447(_apply_if_callable)
       10    0.000    0.000    0.000    0.000 common.py:53(outer)
       38    0.000    0.000    0.000    0.000 common.py:54(is_object_dtype)
        1    0.000    0.000    0.000    0.000 common.py:572(_random_state)
       48    0.000    0.000    0.000    0.000 common.py:59(is_sparse)
       71    0.000    0.000    0.000    0.000 common.py:64(is_categorical)
        1    0.000    0.000    0.000    0.000 common.py:68(CParserError)
       98    0.000    0.000    0.000    0.000 common.py:69(is_datetimetz)
        1    0.000    0.000    0.000    0.000 common.py:76(DtypeWarning)
        1    0.000    0.000    0.000    0.000 common.py:76(PandasError)
        4    0.000    0.000    0.000    0.000 common.py:8(<genexpr>)
        1    0.000    0.000    0.000    0.000 common.py:80(PerformanceWarning)
       18    0.000    0.000    0.000    0.000 common.py:81(is_datetime64_dtype)
        1    0.000    0.000    0.000    0.000 common.py:84(EmptyDataError)
        1    0.000    0.000    0.000    0.000 common.py:84(NeverRaised)
        1    0.000    0.000    0.000    0.000 common.py:84(SettingWithCopyError)
        1    0.000    0.000    0.000    0.000 common.py:87(PathBase)
        1    0.000    0.000    0.000    0.000 common.py:88(Properties)
        1    0.000    0.000    0.000    0.000 common.py:88(SettingWithCopyWarning)
      123    0.000    0.000    0.000    0.000 common.py:89(is_datetime64tz_dtype)
        1    0.000    0.000    0.000    0.000 common.py:9(Checkers)
        1    0.000    0.000    0.000    0.000 common.py:92(AmbiguousIndexError)
        1    0.000    0.000    0.000    0.000 common.py:92(ParserWarning)
       14    0.000    0.000    0.000    0.000 common.py:93(is_timedelta64_dtype)
        1    0.000    0.000    0.000    0.000 common.py:96(UnsupportedFunctionCall)
       15    0.000    0.000    0.000    0.000 common.py:98(is_period_dtype)
        1    0.000    0.000    0.000    0.000 compatibility.py:1(<module>)
        1    0.000    0.000    0.000    0.000 compatibility.py:13(LZMAFile)
        1    0.000    0.000    0.001    0.001 compatibility.py:2(<module>)
       35    0.000    0.000    0.000    0.000 compatibility.py:234(bind_method)
        1    0.000    0.000    0.001    0.001 compressed.py:1(<module>)
        4    0.000    0.000    0.000    0.000 compressed.py:1021(prune)
        2    0.000    0.000    0.000    0.000 compressed.py:116(_set_self)
        4    0.000    0.000    0.000    0.000 compressed.py:127(check_format)
        1    0.000    0.000    0.000    0.000 compressed.py:21(_cs_matrix)
      4/2    0.000    0.000    0.001    0.000 compressed.py:24(__init__)
        1    0.000    0.000    0.000    0.000 compressed.py:585(_minor_reduce)
        1    0.000    0.000    0.000    0.000 compressed.py:936(__get_has_canonical_format)
        1    0.000    0.000    0.000    0.000 compressed.py:957(__set_has_canonical_format)
        1    0.000    0.000    0.000    0.000 compressed.py:965(sum_duplicates)
       19    0.000    0.000    0.000    0.000 compressed.py:99(getnnz)
        2    0.000    0.000    0.000    0.000 compressed.py:996(__set_sorted)
        1    0.000    0.000    0.000    0.000 concat.py:3(<module>)
        1    0.000    0.000    0.000    0.000 config.py:104(_set_option)
        1    0.000    0.000    0.000    0.000 config.py:170(get_default_val)
        1    0.000    0.000    0.000    0.000 config.py:175(DictWrapper)
        1    0.000    0.000    0.000    0.000 config.py:178(__init__)
        1    0.000    0.000    0.000    0.000 config.py:217(CallableDynamicDoc)
        4    0.000    0.000    0.000    0.000 config.py:218(__init__)
        1    0.000    0.000    0.000    0.000 config.py:222(__call__)
        1    0.000    0.000    0.000    0.000 config.py:373(option_context)
       40    0.000    0.000    0.001    0.000 config.py:410(register_option)
        2    0.000    0.000    0.000    0.000 config.py:476(deprecate_option)
        1    0.000    0.000    0.002    0.002 config.py:49(<module>)
        2    0.000    0.000    0.000    0.000 config.py:527(_select_options)
        1    0.000    0.000    0.000    0.000 config.py:545(_get_root)
        3    0.000    0.000    0.000    0.000 config.py:560(_get_deprecated_option)
        2    0.000    0.000    0.000    0.000 config.py:577(_get_registered_option)
        2    0.000    0.000    0.000    0.000 config.py:588(_translate_key)
        1    0.000    0.000    0.000    0.000 config.py:601(_warn_if_deprecated)
       14    0.000    0.000    0.000    0.000 config.py:688(config_prefix)
        1    0.000    0.000    0.000    0.000 config.py:69(OptionError)
       21    0.000    0.000    0.000    0.000 config.py:718(wrap)
       40    0.000    0.000    0.001    0.000 config.py:719(inner)
        5    0.000    0.000    0.000    0.000 config.py:740(is_type_factory)
       18    0.000    0.000    0.000    0.000 config.py:754(inner)
        6    0.000    0.000    0.001    0.000 config.py:761(is_instance_factory)
        2    0.000    0.000    0.000    0.000 config.py:78(_get_single_key)
        7    0.000    0.000    0.000    0.000 config.py:781(inner)
        7    0.000    0.000    0.000    0.000 config.py:788(is_one_of_factory)
        7    0.000    0.000    0.000    0.000 config.py:790(<listcomp>)
        7    0.000    0.000    0.000    0.000 config.py:791(<listcomp>)
        7    0.000    0.000    0.000    0.000 config.py:793(inner)
        1    0.000    0.000    0.393    0.393 config_init.py:11(<module>)
        1    0.000    0.000    0.000    0.000 config_init.py:417(_register_xlsx)
        1    0.000    0.000    0.000    0.000 construct.py:2(<module>)
        1    0.000    0.000    0.002    0.002 context.py:1(<module>)
        1    0.000    0.000    0.000    0.000 context.py:12(set_options)
        1    0.000    0.000    0.000    0.000 context.py:14(ProcessError)
        1    0.000    0.000    0.000    0.000 context.py:17(BufferTooShort)
        2    0.000    0.000    0.000    0.000 context.py:196(get_start_method)
        1    0.000    0.000    0.000    0.000 context.py:20(TimeoutError)
        1    0.000    0.000    0.000    0.000 context.py:202(reducer)
        1    0.000    0.000    0.000    0.000 context.py:219(Process)
        1    0.000    0.000    0.000    0.000 context.py:225(DefaultContext)
        1    0.000    0.000    0.000    0.000 context.py:228(__init__)
        1    0.000    0.000    0.000    0.000 context.py:23(AuthenticationError)
        4    0.000    0.000    0.000    0.000 context.py:232(get_context)
       37    0.000    0.000    0.000    0.000 context.py:264(<genexpr>)
        1    0.000    0.000    0.000    0.000 context.py:272(ForkProcess)
        1    0.000    0.000    0.000    0.000 context.py:279(SpawnProcess)
        1    0.000    0.000    0.000    0.000 context.py:286(ForkServerProcess)
        1    0.000    0.000    0.000    0.000 context.py:293(ForkContext)
        1    0.000    0.000    0.000    0.000 context.py:297(SpawnContext)
        1    0.000    0.000    0.000    0.000 context.py:3(<module>)
        1    0.000    0.000    0.000    0.000 context.py:30(BaseContext)
        1    0.000    0.000    0.000    0.000 context.py:301(ForkServerContext)
        1    0.000    0.000    0.000    0.000 context.py:40(cpu_count)
        2    0.000    0.000    0.002    0.001 context.py:79(Semaphore)
       35    0.000    0.000    0.000    0.000 contextlib.py:129(contextmanager)
        8    0.000    0.000    0.000    0.000 contextlib.py:157(helper)
        8    0.000    0.000    0.000    0.000 contextlib.py:60(__init__)
        8    0.000    0.000    0.000    0.000 contextlib.py:80(__enter__)
        8    0.000    0.000    0.000    0.000 contextlib.py:86(__exit__)
        1    0.000    0.000    0.000    0.000 contingency.py:2(<module>)
        2    0.000    0.000    0.072    0.036 converter.py:1(<module>)
        1    0.000    0.000    0.000    0.000 converter.py:108(TimeFormatter)
        1    0.000    0.000    0.000    0.000 converter.py:132(PeriodConverter)
        1    0.000    0.000    0.000    0.000 converter.py:183(DatetimeConverter)
        1    0.000    0.000    0.000    0.000 converter.py:242(PandasAutoDateFormatter)
        1    0.000    0.000    0.000    0.000 converter.py:258(PandasAutoDateLocator)
        1    0.000    0.000    0.000    0.000 converter.py:283(MilliSecondLocator)
        1    0.000    0.000    0.000    0.000 converter.py:53(register)
        1    0.000    0.000    0.000    0.000 converter.py:79(TimeConverter)
        1    0.000    0.000    0.000    0.000 converter.py:857(TimeSeries_DateLocator)
        1    0.000    0.000    0.000    0.000 converter.py:939(TimeSeries_DateFormatter)
        1    0.000    0.000    0.000    0.000 coo.py:1(<module>)
        2    0.000    0.000    0.000    0.000 coo.py:118(__init__)
        5    0.000    0.000    0.000    0.000 coo.py:186(getnnz)
        1    0.000    0.000    0.000    0.000 coo.py:21(coo_matrix)
        2    0.000    0.000    0.000    0.000 coo.py:212(_check)
        1    0.000    0.000    0.000    0.000 coo.py:301(tocsr)
        1    0.000    0.000    0.000    0.000 coo.py:449(sum_duplicates)
        1    0.000    0.000    0.000    0.000 coordinate_descent.py:1021(LinearModelCV)
        1    0.000    0.000    0.000    0.000 coordinate_descent.py:1216(LassoCV)
        1    0.000    0.000    0.000    0.000 coordinate_descent.py:1362(ElasticNetCV)
        1    0.000    0.000    0.000    0.000 coordinate_descent.py:1547(MultiTaskElasticNet)
        1    0.000    0.000    0.000    0.000 coordinate_descent.py:1741(MultiTaskLasso)
        1    0.000    0.000    0.000    0.000 coordinate_descent.py:1856(MultiTaskElasticNetCV)
        1    0.000    0.000    0.000    0.000 coordinate_descent.py:2035(MultiTaskLassoCV)
        1    0.000    0.000    0.000    0.000 coordinate_descent.py:498(ElasticNet)
        1    0.000    0.000    0.000    0.000 coordinate_descent.py:782(Lasso)
