Runtime (em: downsample): 1.6689300537109375e-06
Runtime (cy: downsample): 2.379638195037842
Runtime (cy (older): downsample): 6.9141387939453125e-06
         879806 function calls (864749 primitive calls) in 3.646 seconds

   Ordered by: standard name

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      817    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:393(_check_name_wrapper)
       78    0.000    0.000    0.006    0.000 <frozen importlib._bootstrap_external>:413(_find_module_shim)
      817    0.008    0.000    0.010    0.000 <frozen importlib._bootstrap_external>:430(_validate_bytecode_header)
      817    0.002    0.000    0.102    0.000 <frozen importlib._bootstrap_external>:485(_compile_bytecode)
     1634    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:52(_r_long)
  993/992    0.003    0.000    0.083    0.000 <frozen importlib._bootstrap_external>:524(spec_from_file_location)
     9167    0.009    0.000    0.023    0.000 <frozen importlib._bootstrap_external>:57(_path_join)
     9167    0.007    0.000    0.011    0.000 <frozen importlib._bootstrap_external>:59(<listcomp>)
     1644    0.002    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:63(_path_split)
      817    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:669(create_module)
    817/4    0.002    0.000    1.221    0.305 <frozen importlib._bootstrap_external>:672(exec_module)
      817    0.006    0.000    0.169    0.000 <frozen importlib._bootstrap_external>:743(get_code)
     4363    0.002    0.000    0.038    0.000 <frozen importlib._bootstrap_external>:75(_path_stat)
      817    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:800(__init__)
      817    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:825(get_filename)
      817    0.021    0.000    0.031    0.000 <frozen importlib._bootstrap_external>:830(get_data)
      817    0.001    0.000    0.010    0.000 <frozen importlib._bootstrap_external>:840(path_stats)
     1881    0.002    0.000    0.020    0.000 <frozen importlib._bootstrap_external>:85(_path_is_mode_type)
      134    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:908(__init__)
  134/102    0.000    0.000    0.149    0.001 <frozen importlib._bootstrap_external>:919(create_module)
      134    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:927(exec_module)
     1685    0.001    0.000    0.020    0.000 <frozen importlib._bootstrap_external>:94(_path_isfile)
      196    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:99(_path_isdir)
        1    0.000    0.000    0.000    0.000 <string>:1(<module>)
      328    0.000    0.000    0.000    0.000 <string>:12(__new__)
        1    0.000    0.000    0.000    0.000 <string>:2(<module>)
        1    0.000    0.000    0.000    0.000 <string>:5(AndersonResult)
        1    0.000    0.000    0.000    0.000 <string>:5(Anderson_ksampResult)
        1    0.000    0.000    0.000    0.000 <string>:5(AnsariResult)
        1    0.000    0.000    0.000    0.000 <string>:5(ArgInfo)
        1    0.000    0.000    0.000    0.000 <string>:5(ArgSpec)
